Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
223,Dr. Ratna De Nag,PANDUA,AITC,0,Graduate Professional,Rs 33921638,~ 3 Crore+,Rs 0,~
224,Nirmal Ghosh,PANIHATI,AITC,0,Graduate,Rs 11294893,~ 1 Crore+,Rs 0,~
226,Biplab Roy Chowdhury,PANSKURA PURBA,AITC,0,12th Pass,Rs 3581403,~ 35 Lacs+,Rs 0,~
227,Nadiar Chand Bouri,PARA (SC),BJP,0,12th Pass,Rs 1689675,~ 16 Lacs+,Rs 650000,~ 6 Lacs+
230,Durga Murmu,PHANSIDEWA (ST),BJP,0,12th Pass,Rs 11703526,~ 1 Crore+,Rs 0,~
237,Vivekananda Bauri,RAGHUNATHPUR (SC),BJP,0,Graduate Professional,Rs 2030856,~ 20 Lacs+,Rs 0,~
239,Krishna Kalyani,RAIGANJ,BJP,0,Graduate,Rs 58429269,~ 5 Crore+,Rs 8857800,~ 88 Lacs+
240,Shampa Dhara,RAINA (SC),AITC,0,Graduate,Rs 345778,~ 3 Lacs+,Rs 0,~
241,Mrityunjoy Murmu,RAIPUR (ST),AITC,0,10th Pass,Rs 1018005,~ 10 Lacs+,Rs 0,~
242,Aditi Munshi,RAJARHAT GOPALPUR,AITC,0,Post Graduate,Rs 9924104,~ 99 Lacs+,Rs 1242028,~ 12 Lacs+
246,Asish Banerjee,RAMPURHAT,AITC,0,Doctorate,Rs 18027294,~ 1 Crore+,Rs 0,~
247,Mukut Mani Adhikari,RANAGHAT DAKSHIN (SC),BJP,0,Graduate Professional,Rs 5318365,~ 53 Lacs+,Rs 1240000,~ 12 Lacs+
248,Parthasarathi Chatterjee,RANAGHAT UTTAR PASCHIM,BJP,0,Graduate Professional,Rs 4996464,~ 49 Lacs+,Rs 2393627,~ 23 Lacs+
250,Jyotsna Mandi,RANIBANDH (ST),AITC,0,Others,Rs 4101144,~ 41 Lacs+,Rs 234000,~ 2 Lacs+
253,Debasish Kumar,RASHBEHARI,AITC,0,12th Pass,Rs 58979827,~ 5 Crore+,Rs 9968000,~ 99 Lacs+
254,Samar Mukherjee,RATUA,AITC,0,12th Pass,Rs 6521823,~ 65 Lacs+,Rs 1191000,~ 11 Lacs+
107,Tapasi Mondal,HALDIA (SC),BJP,0,10th Pass,Rs 8110430,~ 81 Lacs+,Rs 0,~
106,Jyoti Priya Mallick,HABRA,AITC,0,Graduate Professional,Rs 62870708,~ 6 Crore+,Rs 0,~
5,Braja Kishor Goswami,SANTIPUR : BYE ELECTION ON 30-10-2021,AITC,0,Post Graduate,Rs 4009894,~ 40 Lacs+,Rs 0,~
56,Saokat Molla,CANNING PURBA,AITC,0,Graduate,Rs 30652188,~ 3 Crore+,Rs 4840418,~ 48 Lacs+
30,Raju Chakraborty (Raj),BARRACKPUR,AITC,0,12th Pass,Rs 133002383,~ 13 Crore+,Rs 21675488,~ 2 Crore+
31,Biman Banerjee,BARUIPUR PASCHIM,AITC,0,Post Graduate,Rs 23862266,~ 2 Crore+,Rs 0,~
33,Shyamal Mondal,BASANTI (SC),AITC,0,Graduate,Rs 7057592,~ 70 Lacs+,Rs 370230,~ 3 Lacs+
65,Rukbanur Rahman,CHAPRA,AITC,0,Post Graduate,Rs 3425904,~ 34 Lacs+,Rs 0,~
85,Brtyabrata Basu,DUM DUM,AITC,0,Post Graduate,Rs 30804856,~ 3 Crore+,Rs 0,~
34,Dr. Saptarshi Banerjee,BASIRHAT DAKSHIN,AITC,0,Post Graduate,Rs 67180280,~ 6 Crore+,Rs 1033081,~ 10 Lacs+
83,Jafikul Islam,DOMKAL,AITC,0,Post Graduate,Rs 42199000,~ 4 Crore+,Rs 6045000,~ 60 Lacs+
36,Partha Chatterjee,BEHALA PASCHIM,AITC,0,Doctorate,Rs 11594863,~ 1 Crore+,Rs 0,~
80,Pannalal Halder,DIAMOND HARBOUR,AITC,0,Graduate Professional,Rs 59450472,~ 5 Crore+,Rs 0,~
78,Asima Patra,DHANEKHALI (SC),AITC,0,12th Pass,Rs 8460657,~ 84 Lacs+,Rs 0,~
40,Sobhandeb Chattopadhyay,BHABANIPUR,AITC,0,Graduate Professional,Rs 22558885,~ 2 Crore+,Rs 0,~
43,Md. Nawsad Siddique,BHANGAR,Rashtriya Secular Majlis Party,0,Post Graduate,Rs 2212970,~ 22 Lacs+,Rs 0,~
47,Sujit Bose,BIDHANNAGAR,AITC,0,10th Pass,Rs 65808021,~ 6 Crore+,Rs 16109098,~ 1 Crore+
49,Debnath Hansda,BINPUR (ST),AITC,0,8th Pass,Rs 364500,~ 3 Lacs+,Rs 0,~
50,Tanmay Ghosh (Bumba),BISHNUPUR,BJP,0,Graduate,Rs 44739508,~ 4 Crore+,Rs 10703064,~ 1 Crore+
77,Rahima Mondal,DEGANGA,AITC,0,10th Pass,Rs 6765714,~ 67 Lacs+,Rs 0,~
52,Chandra Nath Sinha,BOLPUR,AITC,0,Post Graduate,Rs 43411414,~ 4 Crore+,Rs 0,~
76,Humayun Kabir,DEBRA,AITC,0,Doctorate,Rs 27577829,~ 2 Crore+,Rs 0,~
75,Mamata Bhunia,DASPUR,AITC,0,10th Pass,Rs 596196,~ 5 Lacs+,Rs 0,~
54,Jiban Krishna Saha,BURWAN (SC),AITC,0,Post Graduate,Rs 30466250,~ 3 Crore+,Rs 0,~
105,Joyel Murmu,HABIBPUR (ST),BJP,0,8th Pass,Rs 3229212,~ 32 Lacs+,Rs 0,~
58,Azad Minhajul Arfin,CHAKULIA,AITC,0,Graduate,Rs 2270837,~ 22 Lacs+,Rs 1241300,~ 12 Lacs+
59,Arindam Guin (Bubai),CHAMPDANI,AITC,0,Graduate,Rs 14218012,~ 1 Crore+,Rs 1447189,~ 14 Lacs+
61,Indranil Sen,CHANDANNAGAR,AITC,0,12th Pass,Rs 98956529,~ 9 Crore+,Rs 39447967,~ 3 Crore+
62,Soham Chakraborty,CHANDIPUR,AITC,0,Graduate,Rs 45988266,~ 4 Crore+,Rs 17082921,~ 1 Crore+
63,Swati Khandoker,CHANDITALA,AITC,0,12th Pass,Rs 6079297,~ 60 Lacs+,Rs 1050000,~ 10 Lacs+
64,Arup Dhara,CHANDRAKONA (SC),AITC,0,Graduate,Rs 7039412,~ 70 Lacs+,Rs 1527905,~ 15 Lacs+
29,Alok Mukherjee,BARJORA,AITC,0,10th Pass,Rs 1992033,~ 19 Lacs+,Rs 0,~
26,Chiranjeet Chakrabarti,BARASAT,AITC,0,12th Pass,Rs 58020135,~ 5 Crore+,Rs 857385,~ 8 Lacs+
66,Satyanarayan Mukhopadhyay,CHHATNA,BJP,0,Graduate Professional,Rs 2745685,~ 27 Lacs+,Rs 400000,~ 4 Lacs+
14,Chandana Sarkar,BAISNABNAGAR,AITC,0,Graduate,Rs 13259970,~ 1 Crore+,Rs 2276970,~ 22 Lacs+
