Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilites,Approx Liabilities
261,Chandana Bauri,SALTORA (SC),BJP,0,3,62296,~ 62 Thou+,0,~
262,Amirul Islam,SAMSERGANJ,AITC,3,6,10727391,~ 1 Crore+,287362,~ 2 Lacs+
263,Sukumar Mahata,SANDESHKHALI (ST),AITC,1,8,1236039,~ 12 Lacs+,0,~
264,Priya Paul,SANKRAIL (SC),AITC,0,8,5434717,~ 54 Lacs+,0,~
265,Jagannath Sarkar,SANTIPUR,BJP,4,6,15250717,~ 1 Crore+,1899358,~ 18 Lacs+
266,Tapan Dasgupta,SAPTAGRAM,AITC,0,6,11981324,~ 1 Crore+,401531,~ 4 Lacs+
267,Mohan Chandra Naskar,SATGACHHIA,AITC,0,6,2523517,~ 25 Lacs+,0,~
268,Manoj Tiwary,SHIBPUR,AITC,0,2,203357703,~ 20 Crore+,1337744,~ 13 Lacs+
269,Dr. Shashi Panja,SHYAMPUKUR,AITC,0,7,73351264,~ 7 Crore+,0,~
270,Kalipada Mandal,SHYAMPUR,AITC,0,7,8383967,~ 83 Lacs+,0,~
271,Sankar Ghosh,SILIGURI,BJP,2,10,15433178,~ 1 Crore+,2839918,~ 28 Lacs+
272,Becharam Manna,SINGUR,AITC,1,3,21218659,~ 2 Crore+,1368413,~ 13 Lacs+
273,Jagadish Chandra Barma Basunia,SITAI (SC),AITC,1,7,15190525,~ 1 Crore+,0,~
274,Baren Chandra Barman,SITALKUCHI (SC),BJP,1,8,6076622,~ 60 Lacs+,1143178,~ 11 Lacs+
275,Dibakar Gharami,SONAMUKHI (SC),BJP,0,2,497000,~ 4 Lacs+,0,~
276,Arundhuti Maitra (Lovely),SONARPUR DAKSHIN,AITC,0,6,9014300,~ 90 Lacs+,0,~
277,Firdousi Begum,SONARPUR UTTAR,AITC,0,4,66667778,~ 6 Crore+,296050,~ 2 Lacs+
278,Dr. Sudipto Roy,SREERAMPUR,AITC,0,8,94686431,~ 9 Crore+,1246667,~ 12 Lacs+
279,Md Abdul Ghani,SUJAPUR,AITC,0,8,41334000,~ 4 Crore+,0,~
280,Bikash Roychoudhury,SURI,AITC,0,6,41710699,~ 4 Crore+,541286,~ 5 Lacs+
281,Emani Biswas,SUTI,AITC,1,6,116528350,~ 11 Crore+,25774415,~ 2 Crore+
282,Bina Mondal,SWARUPNAGAR (SC),AITC,0,6,20111577,~ 2 Crore+,0,~
283,Arup Chakraborty,TALDANGRA,AITC,0,7,88251416,~ 8 Crore+,39858383,~ 3 Crore+
284,Saumen Kumar Mahapatra,TAMLUK,AITC,3,10,82825747,~ 8 Crore+,19300000,~ 1 Crore+
285,Budhrai Tudu,TAPAN (ST),BJP,0,7,5747782,~ 57 Lacs+,2787517,~ 27 Lacs+
286,Ramendu Sinharay,TARAKESWAR,AITC,4,6,34964190,~ 3 Crore+,928525,~ 9 Lacs+
287,Tapas Kumar Saha,TEHATTA,AITC,1,6,5542364,~ 55 Lacs+,0,~
288,Aroop Biswas,TOLLYGANJ,AITC,0,6,11588610,~ 1 Crore+,0,~
289,Malati Rava Roy,TUFANGANJ,BJP,9,6,7130820,~ 71 Lacs+,105000,~ 1 Lacs+
290,Samir Kumar Panja,UDAYNARAYANPUR,AITC,0,7,25762514,~ 2 Crore+,0,~
291,Pulak Roy,ULUBERIA DAKSHIN,AITC,0,6,29705081,~ 2 Crore+,4390702,~ 43 Lacs+
292,Bidesh Ranjan Bose,ULUBERIA PURBA,AITC,0,6,14032345,~ 1 Crore+,614693,~ 6 Lacs+
293,Dr. Nirmal Maji,ULUBERIA UTTAR (SC),AITC,2,8,8435790,~ 84 Lacs+,381835,~ 3 Lacs+
294,Kanchan Mullick,UTTARPARA,AITC,0,6,10219205,~ 1 Crore+,186956,~ 1 Lacs+
1,Mamata Banerjee,BHABANIPUR : BYE ELECTION ON 30-09-2021,AITC,0,8,1538029,~ 15 Lacs+,0,~
2,Udayan Guha,DINHATA : BYE ELECTION ON 30-10-2021,AITC,2,6,53274492,~ 5 Crore+,352691,~ 3 Lacs+
3,Subrata Mondal,GOSABA : BYE ELECTION ON 30-10-2021,AITC,1,6,7480536,~ 74 Lacs+,1280180,~ 12 Lacs+
4,Sobhandeb Chattopadhyay,KHARDAHA : BYE ELECTION ON 30-10-2021,AITC,0,7,24931336,~ 2 Crore+,0,~
